"Шифр","Mobile - iOS","Mobile - Android","ML","Frontend","Backend - Python","Backend - NodeJS","Backend - Kotlin","Backend - Java","Backend - Golang","Backend - Custom","Backend - .NET"
v2DCDlW,35.4,,,,,,,,,,
CFQGSRK,34.8,,,,,,,,,,
_40MZfS,25.4,,,,,,,,,,
RQdLCX8,0,0,0,51,86.17,,,1.39,,,
GpscW1h,0,,,48,84.03,,,,,,
qlcqwfr,0,0,0,0,0,0,0,,0,54.32,0
wryjdld,0,0,0,,,,,0,,,
oxbgtyx,0,,,38,0,,,,,,
8qv8RLj,0,,,0,99.16,,,,,,
KzpGpf8,0,,,,,,,,,,
7-~LfGT,0,,49.0,0,0,,,,91.42,,
lGtj2WT,0,,50.0,28,0,0,,,,,
m7MJDLF,0,,,0,0,,,,,,
vB25~qc,0,0,0,0,0,,,,,,
~nsLNWm,0,0,0,0,0,0,,,0,,
Vw~Dz6S,0,0,0,0,0,0,,,0,,0
MLNHZ5s,0,0,0,0,89.04,0,0,0,0,0,0
DM~fTPq,0,0,,0,0,,,0,,,0
86B_hjx,0,,,0,,,,,,,
9J7PNsM,0,0,0,0,0,0,0,0,0,0,0
XDr3L9l,0,0,0,,0,,,,,,
C~VKxdD,0,0,,0,0,,,,,,
wGRd~cz,0,0,0,0,91.65,0,,,,,
Swg9Ct8,0,,,0,0,,,,,,0
pqDfLmX,0,,0,0,0,,,,,,
n_MHjXW,0,,,0,90.15,,,,,,
_WPPkdD,0,,0,0,0,,,,,,
NGPzM8P,0,,,0,0,,,,,,
4X2j-mK,0,,,,,,,,,,0
t2zm4NH,0,0,,,0,,,,,,
6msxSTz,0,,,0,0,0,,,0,,
Ck1xz_M,0,0,,,0,,,,,2.02,
N~NPxLs,0,,,,0,,,,,,
r6H30wl,0,0,0,0,0,0,0,0,0,0,0
W~klgqs,0,,,,,,0,,,,
~qxbJ1J,0,,,0,0,,,,,,
~5k96Q0,0,0,,,,,,,,,
4PtRL_f,0,,0,0,0,,,,,,
x28V_nG,0,0,0,0,0,0,,,0,0,
GsM5z2S,0,0,,0,,,0,0,,0,
_Jtkm2M,0,0,0,0,,55.71,,,,,
XhH7V7m,0,,,,0,0,,0,0,0,0
T_tHspw,0,0,0,0,0,,0,0,,,
069_GZJ,0,43.25,0,34,0,0,0,0,0,0,0
mmjX357,0,0,0,0,0,0,0,,,,
j-K__s0,0,0,,0,0,,,,,,
NjzRKnf,0,,,0,0,,,,,,
KcTBnt2,0,32.52,,0,0,,0,,,,
ctVgJgF,0,0,,,0.0,,,,,,
HsT-6Wc,0,0,,,0,,,,,,
wWk53PM,0,,0,0,0,,,,,,
bc0Z42t,0,,,,87.58,,,,,,
W-bMk1b,0,0,0,0,0,,0,,,0,
gSqD7R3,0,,,0,,,,0,,,
Z2sDQzd,0,0,0,0,0,,,0,,,
